sample-id	libType	extID	libID	sampleName	sampleNumber	sampleType	diet	tank	concExt	concAmp	concLib
18100FL-21-03-34	abV4-C	EXT-CP999-33-A	LIB-CP999-33-A-1	IFC D1 tk8 HGm03	33	hindgut	D1	tk8	2.215971628	2.215971628	17.16345571
18100FL-21-03-57	abV4-C	EXT-CP999-55-A	LIB-CP999-55-A-1	IFC D2 tk3 PCm01	55	pyloric caeca	D2	tk3	0.083160083	0.083160083	3.126135951
18100FL-21-03-42	abV4-C	EXT-CP999-41-A	LIB-CP999-41-A-1	IFC D2 tk9 HGm05	41	hindgut	D2	tk9	0.675064204	0.675064204	17.05076942
18100FL-21-03-55	abV4-C	EXT-CP999-53-A	LIB-CP999-53-A-1	IFC D3 tk11 HGm05	53	hindgut	D3	tk11	0.432921609	0.432921609	14.61771477
18100FL-21-03-120	abV4-C	EXT-CP999-114-A	LIB-CP999-114-A-1	Feed Diet3-2	114	feed	D3	feed	75.23513275	75.23513275	12.21822428
18100FL-21-03-80	abV4-C	EXT-CP999-77-A	LIB-CP999-77-A-1	IFC D1 tk6 PCm05	77	pyloric caeca	D1	tk6	0.031796502	0.031796502	6.498243063
18100FL-21-03-25	abV4-C	EXT-CP999-24-A	LIB-CP999-24-A-1	IFC D1 tk6 HGm06	24	hindgut	D1	tk6	5.513024337	5.513024337	6.686053556
18100FL-21-03-103	abV4-C	EXT-CP999-97-A	LIB-CP999-97-A-1	IFC D2 tk10 PCm03	97	pyloric caeca	D2	tk10	0.071029686	0.071029686	2.081446886
18100FL-21-03-56	abV4-C	EXT-CP999-54-A	LIB-CP999-54-A-1	IFC D3 tk11 HGm06	54	hindgut	D3	tk11	0.176103706	0.176103706	15.82212529
18100FL-21-03-91	abV4-C	EXT-CP999-88-A	LIB-CP999-88-A-1	IFC D1 tk8 PCm05	88	pyloric caeca	D1	tk8	0.114956586	0.114956586	12.51666061
18100FL-21-03-102	abV4-C	EXT-CP999-96-A	LIB-CP999-96-A-1	IFC D2 tk10 PCm01	96	pyloric caeca	D2	tk10	0.264524346	0.264524346	11.38540723
18100FL-21-03-23	abV4-C	EXT-CP999-23-A	LIB-CP999-23-A-1	IFC D1 tk6 HGm05	23	hindgut	D1	tk6	0.198116669	0.198116669	22.33975524
18100FL-21-03-106	abV4-C	EXT-CP999-100-A	LIB-CP999-100-A-1	IFC D2 tk10 PCm06	100	pyloric caeca	D2	tk10	0.105319879	0.105319879	8.722537292
18100FL-21-03-85	abV4-C	EXT-CP999-82-A	LIB-CP999-82-A-1	IFC D3 tk7 PCm04	82	pyloric caeca	D3	tk7	2.648893237	2.648893237	7.13801042
18100FL-21-03-108	abV4-C	EXT-CP999-102-A	LIB-CP999-102-A-1	IFC D3 tk11 PCm02	102	pyloric caeca	D3	tk11	0.075928285	0.075928285	12.53633894
18100FL-21-03-16	abV4-C	EXT-CP999-16-A	LIB-CP999-16-A-1	IFC D3 tk5 HGm04	16	hindgut	D3	tk5	0.498960499	0.498960499	7.536653338
18100FL-21-03-115	abV4-C	EXT-CP999-109-A	LIB-CP999-109-A-1	Feed Diet1-3	109	feed	D1	feed	12.02606055	12.02606055	13.40370776
18100FL-21-03-38	abV4-C	EXT-CP999-37-A	LIB-CP999-37-A-1	IFC D2 tk9 HGm01	37	hindgut	D2	tk9	0.261709673	0.261709673	22.60996001
18100FL-21-03-02	abV4-C	EXT-CP999-02-A	LIB-CP999-02-A-1	IFC D2 tk3 HGm02	02	hindgut	D2	tk3	0.171211936	0.171211936	12.79292379
18100FL-21-03-33	abV4-C	EXT-CP999-32-A	LIB-CP999-32-A-1	IFC D1 tk8 HGm02	32	hindgut	D1	tk8	0.359545065	0.359545065	3.89070641
18100FL-21-03-43	abV4-C	EXT-CP999-42-A	LIB-CP999-42-A-1	IFC D2 tk9 HGm06	42	hindgut	D2	tk9	0.073376544	0.073376544	13.66412214
18100FL-21-03-61	abV4-C	EXT-CP999-59-A	LIB-CP999-59-A-1	IFC D2 tk3 PCm05	59	pyloric caeca	D2	tk3	0.251926134	0.251926134	3.980370774
18100FL-21-03-51	abV4-C	EXT-CP999-49-A	LIB-CP999-49-A-1	IFC D3 tk11 HGm01	49	hindgut	D3	tk11	0.12229424	0.12229424	11.27711135
18100FL-21-03-114	abV4-C	EXT-CP999-108-A	LIB-CP999-108-A-1	Feed Diet1-2	108	feed	D1	feed	34.60370334	34.60370334	14.79054473
18100FL-21-03-26	abV4-C	EXT-CP999-25-A	LIB-CP999-25-A-1	IFC D3 tk7 HGm01	25	hindgut	D3	tk7	0.23969671	0.23969671	15.18841633
18100FL-21-03-50	abV4-C	EXT-CP999-48-A	LIB-CP999-48-A-1	IFC D2 tk10 HGm06	48	hindgut	D2	tk10	0.083160083	0.083160083	10.36108082
18100FL-21-03-117	abV4-C	EXT-CP999-111-A	LIB-CP999-111-A-1	Feed Diet2-2	111	feed	D2	feed	25.10042128	25.10042128	15.98317686
18100FL-21-03-105	abV4-C	EXT-CP999-99-A	LIB-CP999-99-A-1	IFC D2 tk10 PCm05	99	pyloric caeca	D2	tk10	0.083276183	0.083276183	8.99537721
18100FL-21-03-84	abV4-C	EXT-CP999-81-A	LIB-CP999-81-A-1	IFC D3 tk7 PCm03	81	pyloric caeca	D3	tk7	0.070930659	0.070930659	4.75705804
18100FL-21-03-04	abV4-C	EXT-CP999-04-A	LIB-CP999-04-A-1	IFC D2 tk3 HGm04	04	hindgut	D2	tk3	0.12718601	0.12718601	18.32666909
18100FL-21-03-78	abV4-C	EXT-CP999-75-A	LIB-CP999-75-A-1	IFC D1 tk6 PCm03	75	pyloric caeca	D1	tk6	0.18833313	0.18833313	4.538955531
18100FL-21-03-08	abV4-C	EXT-CP999-08-A	LIB-CP999-08-A-1	IFC D1 tk4 HGm02	08	hindgut	D1	tk4	32.293017	32.293017	14.40445898
18100FL-21-03-40	abV4-C	EXT-CP999-39-A	LIB-CP999-39-A-1	IFC D2 tk9 HGm03	39	hindgut	D2	tk9	22.0912315	22.0912315	6.177147704
18100FL-21-03-10	abV4-C	EXT-CP999-10-A	LIB-CP999-10-A-1	IFC D1 tk4 HGm04	10	hindgut	D1	tk4	0.220129632	0.220129632	4.221495214
18100FL-21-03-121	abV4-C	EXT-CP999-115-A	LIB-CP999-115-A-1	Feed Diet3-3	115	feed	D3	feed	68.93798374	68.93798374	13.99942811
18100FL-21-03-45	abV4-C	EXT-CP999-44-A	LIB-CP999-44-A-1	IFC D2 tk10 HGm02	44	hindgut	D2	tk10	0.151644858	0.151644858	17.81170483
18100FL-21-03-06	abV4-C	EXT-CP999-06-A	LIB-CP999-06-A-1	IFC D2 tk3 HGm06	06	hindgut	D2	tk3	0.105173046	0.105173046	18.59323882
18100FL-21-03-71	abV4-C	EXT-CP999-69-A	LIB-CP999-69-A-1	IFC D3 tk5 PCm03	69	pyloric caeca	D3	tk5	0.513635808	0.513635808	17.23979159
18100FL-21-03-54	abV4-C	EXT-CP999-52-A	LIB-CP999-52-A-1	IFC D3 tk11 HGm04	52	hindgut	D3	tk11	0.092943622	0.092943622	12.90076336
18100FL-21-03-77	abV4-C	EXT-CP999-74-A	LIB-CP999-74-A-1	IFC D1 tk6 PCm02	74	pyloric caeca	D1	tk6	0.068484774	0.068484774	8.805282927
18100FL-21-03-63	abV4-C	EXT-CP999-61-A	LIB-CP999-61-A-1	IFC D1 tk4 PCm01	61	pyloric caeca	D1	tk4	0.18344136	0.18344136	11.81388586
18100FL-21-03-95	abV4-C	EXT-CP999-90-A	LIB-CP999-90-A-1	IFC D2 tk9 PCm01	90	pyloric caeca	D2	tk9	0.34535123	0.34535123	9.337320688
18100FL-21-03-35	abV4-C	EXT-CP999-34-A	LIB-CP999-34-A-1	IFC D1 tk8 HGm04	34	hindgut	D1	tk8	0.132077779	0.132077779	12.69962438
18100FL-21-03-73	abV4-C	EXT-CP999-70-A	LIB-CP999-70-A-1	IFC D3 tk5 PCm04	70	pyloric caeca	D3	tk5	0.467163997	0.467163997	7.39973343
18100FL-21-03-59	abV4-C	EXT-CP999-57-A	LIB-CP999-57-A-1	IFC D2 tk3 PCm03	57	pyloric caeca	D2	tk3	0.102727162	0.102727162	1.469768569
18100FL-21-03-97	abV4-C	EXT-CP999-92-A	LIB-CP999-92-A-1	IFC D2 tk9 PCm03	92	pyloric caeca	D2	tk9	0.191045361	0.191045361	13.49068293
18100FL-21-03-113	abV4-C	EXT-CP999-107-A	LIB-CP999-107-A-1	Feed Diet1-1	107	feed	D1	feed	21.63221319	21.63221319	12.71505504
18100FL-21-03-46	abV4-C	EXT-CP999-45-A	LIB-CP999-45-A-1	IFC D2 tk10 HGm03	45	hindgut	D2	tk10	0.132077779	0.132077779	19.01732703
18100FL-21-03-64	abV4-C	EXT-CP999-62-A	LIB-CP999-62-A-1	IFC D1 tk4 PCm02	62	pyloric caeca	D1	tk4	0.075822429	0.075822429	9.485035745
18100FL-21-03-13	abV4-C	EXT-CP999-13-A	LIB-CP999-13-A-1	IFC D3 tk5 HGm01	13	hindgut	D3	tk5	0.364436835	0.364436835	15.61371622
18100FL-21-03-110	abV4-C	EXT-CP999-104-A	LIB-CP999-104-A-1	IFC D3 tk11 PCm04	104	pyloric caeca	D3	tk11	0.386989321	0.386989321	9.662583997
18100FL-21-03-15	abV4-C	EXT-CP999-15-A	LIB-CP999-15-A-1	IFC D3 tk5 HGm03	15	hindgut	D3	tk5	0.171211936	0.171211936	16.2462135
18100FL-21-03-69	abV4-C	EXT-CP999-67-A	LIB-CP999-67-A-1	IFC D3 tk5 PCm01	67	pyloric caeca	D3	tk5	0.266601443	0.266601443	9.808554465
18100FL-21-03-03	abV4-C	EXT-CP999-03-A	LIB-CP999-03-A-1	IFC D2 tk3 HGm03	03	hindgut	D2	tk3	0.114956586	0.114956586	17.3888283
18100FL-21-03-66	abV4-C	EXT-CP999-64-A	LIB-CP999-64-A-1	IFC D1 tk4 PCm04	64	pyloric caeca	D1	tk4	0.249480249	0.249480249	3.677450624
18100FL-21-03-12	abV4-C	EXT-CP999-12-A	LIB-CP999-12-A-1	IFC D1 tk4 HGm06	12	hindgut	D1	tk4	0.190779014	0.190779014	16.31649097
18100FL-21-03-11	abV4-C	EXT-CP999-11-A	LIB-CP999-11-A-1	IFC D1 tk4 HGm05	11	hindgut	D1	tk4	0.259263789	0.259263789	18.56052345
18100FL-21-03-92	abV4-C	EXT-CP999-89-A	LIB-CP999-89-A-1	IFC D1 tk8 PCm06	89	pyloric caeca	D1	tk8	0.158982512	0.158982512	10.4434751
18100FL-21-03-01	abV4-C	EXT-CP999-01-A	LIB-CP999-01-A-1	IFC D2 tk3 HGm01	01	hindgut	D2	tk3	0.100281277	0.100281277	5.410153883
18100FL-21-03-05	abV4-C	EXT-CP999-05-A	LIB-CP999-05-A-1	IFC D2 tk3 HGm05	05	hindgut	D2	tk3	0.719090131	0.719090131	20.14176663
18100FL-21-03-99	abV4-C	EXT-CP999-93-A	LIB-CP999-93-A-1	IFC D2 tk9 PCm04	93	pyloric caeca	D2	tk9	0.169001666	0.169001666	16.03083449
18100FL-21-03-119	abV4-C	EXT-CP999-113-A	LIB-CP999-113-A-1	Feed Diet3-1	113	feed	D3	feed	49.5101401	49.5101401	10.84687604
18100FL-21-03-86	abV4-C	EXT-CP999-83-A	LIB-CP999-83-A-1	IFC D3 tk7 PCm05	83	pyloric caeca	D3	tk7	0.890302067	0.890302067	6.922331273
18100FL-21-03-101	abV4-C	EXT-CP999-95-A	LIB-CP999-95-A-1	IFC D2 tk9 PCm06	95	pyloric caeca	D2	tk9	0.093073381	0.093073381	13.97083353
18100FL-21-03-28	abV4-C	EXT-CP999-27-A	LIB-CP999-27-A-1	IFC D3 tk7 HGm03	27	hindgut	D3	tk7	8.795401737	8.795401737	7.001090513
18100FL-21-03-49	abV4-C	EXT-CP999-47-A	LIB-CP999-47-A-1	IFC D2 tk10 HGm05	47	hindgut	D2	tk10	0.261709673	0.261709673	11.60305344
18100FL-21-03-89	abV4-C	EXT-CP999-86-A	LIB-CP999-86-A-1	IFC D1 tk8 PCm02	86	pyloric caeca	D1	tk8	0.322856793	0.322856793	8.233369684
18100FL-21-03-22	abV4-C	EXT-CP999-22-A	LIB-CP999-22-A-1	IFC D1 tk6 HGm04	22	hindgut	D1	tk6	0.273939097	0.273939097	21.8235793
18100FL-21-03-118	abV4-C	EXT-CP999-112-A	LIB-CP999-112-A-1	Feed Diet2-3	112	feed	D2	feed	23.68472617	23.68472617	15.39103083
18100FL-21-03-111	abV4-C	EXT-CP999-105-A	LIB-CP999-105-A-1	IFC D3 tk11 PCm05	105	pyloric caeca	D3	tk11	0.139610072	0.139610072	6.183577182
18100FL-21-03-79	abV4-C	EXT-CP999-76-A	LIB-CP999-76-A-1	IFC D1 tk6 PCm04	76	pyloric caeca	D1	tk6	0.058701235	0.058701235	10.82394281
18100FL-21-03-75	abV4-C	EXT-CP999-72-A	LIB-CP999-72-A-1	IFC D3 tk5 PCm06	72	pyloric caeca	D3	tk5	0.095389507	0.095389507	9.601357082
18100FL-21-03-109	abV4-C	EXT-CP999-103-A	LIB-CP999-103-A-1	IFC D3 tk11 PCm03	103	pyloric caeca	D3	tk11	0.237582052	0.237582052	10.26187866
18100FL-21-03-37	abV4-C	EXT-CP999-36-A	LIB-CP999-36-A-1	IFC D1 tk8 HGm06	36	hindgut	D1	tk8	0.511189923	0.511189923	17.54877014
18100FL-21-03-82	abV4-C	EXT-CP999-79-A	LIB-CP999-79-A-1	IFC D3 tk7 PCm01	79	pyloric caeca	D3	tk7	0.572337043	0.572337043	5.212649945
18100FL-21-03-68	abV4-C	EXT-CP999-66-A	LIB-CP999-66-A-1	IFC D1 tk4 PCm06	66	pyloric caeca	D1	tk4	0.491622845	0.491622845	16.44977584
18100FL-21-03-65	abV4-C	EXT-CP999-63-A	LIB-CP999-63-A-1	IFC D1 tk4 PCm03	63	pyloric caeca	D1	tk4	0.540540541	0.540540541	5.771234703
18100FL-21-03-100	abV4-C	EXT-CP999-94-A	LIB-CP999-94-A-1	IFC D2 tk9 PCm05	94	pyloric caeca	D2	tk9	0.423728814	0.423728814	15.91049898
18100FL-21-03-29	abV4-C	EXT-CP999-28-A	LIB-CP999-28-A-1	IFC D3 tk7 HGm04	28	hindgut	D3	tk7	1.100648159	1.100648159	17.18768933
18100FL-21-03-44	abV4-C	EXT-CP999-43-A	LIB-CP999-43-A-1	IFC D2 tk10 HGm01	43	hindgut	D2	tk10	0.092943622	0.092943622	13.2666909
18100FL-21-03-76	abV4-C	EXT-CP999-73-A	LIB-CP999-73-A-1	IFC D1 tk6 PCm01	73	pyloric caeca	D1	tk6	0.156536627	0.156536627	12.65115715
18100FL-21-03-104	abV4-C	EXT-CP999-98-A	LIB-CP999-98-A-1	IFC D2 tk10 PCm04	98	pyloric caeca	D2	tk10	0.083276183	0.083276183	6.896058714
18100FL-21-03-41	abV4-C	EXT-CP999-40-A	LIB-CP999-40-A-1	IFC D2 tk9 HGm04	40	hindgut	D2	tk9	10.3142962	10.3142962	8.847691748
18100FL-21-03-90	abV4-C	EXT-CP999-87-A	LIB-CP999-87-A-1	IFC D1 tk8 PCm03	87	pyloric caeca	D1	tk8	0.129631894	0.129631894	9.869138495
18100FL-21-03-21	abV4-C	EXT-CP999-21-A	LIB-CP999-21-A-1	IFC D1 tk6 HGm03	21	hindgut	D1	tk6	0.141861318	0.141861318	24.36689689
18100FL-21-03-27	abV4-C	EXT-CP999-26-A	LIB-CP999-26-A-1	IFC D3 tk7 HGm02	26	hindgut	D3	tk7	0.156536627	0.156536627	16.42190719
18100FL-21-03-32	abV4-C	EXT-CP999-31-A	LIB-CP999-31-A-1	IFC D1 tk8 HGm01	31	hindgut	D1	tk8	0.256817904	0.256817904	21.96655762
18100FL-21-03-74	abV4-C	EXT-CP999-71-A	LIB-CP999-71-A-1	IFC D3 tk5 PCm05	71	pyloric caeca	D3	tk5	0.198116669	0.198116669	7.13801042
18100FL-21-03-19	abV4-C	EXT-CP999-19-A	LIB-CP999-19-A-1	IFC D1 tk6 HGm01	19	hindgut	D1	tk6	1.506665036	1.506665036	21.13534472
18100FL-21-03-107	abV4-C	EXT-CP999-101-A	LIB-CP999-101-A-1	IFC D3 tk11 PCm01	101	pyloric caeca	D3	tk11	0.115117077	0.115117077	10.17371205
18100FL-21-03-116	abV4-C	EXT-CP999-110-A	LIB-CP999-110-A-1	Feed Diet2-1	110	feed	D2	feed	89.11776232	89.11776232	15.19444312
18100FL-21-03-60	abV4-C	EXT-CP999-58-A	LIB-CP999-58-A-1	IFC D2 tk3 PCm04	58	pyloric caeca	D2	tk3	0.134523664	0.134523664	5.560402278
18100FL-21-03-20	abV4-C	EXT-CP999-20-A	LIB-CP999-20-A-1	IFC D1 tk6 HGm02	20	hindgut	D1	tk6	51.60327749	51.60327749	7.322185872
18100FL-21-03-47	abV4-C	EXT-CP999-46-A	LIB-CP999-46-A-1	IFC D2 tk10 HGm04	46	hindgut	D2	tk10	36.69560964	36.69560964	5.779716467
18100FL-21-03-88	abV4-C	EXT-CP999-85-A	LIB-CP999-85-A-1	IFC D1 tk8 PCm01	85	pyloric caeca	D1	tk8	0.291060291	0.291060291	11.45644008
18100FL-21-03-53	abV4-C	EXT-CP999-51-A	LIB-CP999-51-A-1	IFC D3 tk11 HGm03	51	hindgut	D3	tk11	0.525865232	0.525865232	11.78359384
18100FL-21-03-09	abV4-C	EXT-CP999-09-A	LIB-CP999-09-A-1	IFC D1 tk4 HGm03	09	hindgut	D1	tk4	0.567445273	0.567445273	17.45425906
18100FL-21-03-52	abV4-C	EXT-CP999-50-A	LIB-CP999-50-A-1	IFC D3 tk11 HGm02	50	hindgut	D3	tk11	0.107618931	0.107618931	7.850478614
18100FL-21-03-18	abV4-C	EXT-CP999-18-A	LIB-CP999-18-A-1	IFC D3 tk5 HGm06	18	hindgut	D3	tk5	8.783172313	8.783172313	5.581000848
18100FL-21-03-14	abV4-C	EXT-CP999-14-A	LIB-CP999-14-A-1	IFC D3 tk5 HGm02	14	hindgut	D3	tk5	0.080714198	0.080714198	14.58984612
18100FL-21-03-17	abV4-C	EXT-CP999-17-A	LIB-CP999-17-A-1	IFC D3 tk5 HGm05	17	hindgut	D3	tk5	0.291060291	0.291060291	12.98436932
18100FL-21-03-87	test	test	test	test	test	test	test	test	test	test	test
18100FL-21-03-31	test	test	test	test	test	test	test	test	test	test	test
